,lon,lat,A_growth,n_A_end,mean_Temp,tot_mu
142,34.7,31.8,0.048625151,46301915.74,24.50125455,0
143,34.8,31.8,0.048625151,46301915.74,24.50125455,0
144,34.9,31.8,0.048625151,46301915.74,24.50125455,0
145,35,31.8,0.048625151,46301915.74,24.50125455,0
146,35.1,31.8,0.048625151,46301915.74,24.50125455,0
147,34.7,31.9,0.048625151,46301915.74,24.50125455,0
148,34.8,31.9,0.048625151,46301915.74,24.50125455,0
149,34.9,31.9,0.048625151,46301915.74,24.50125455,0
150,34.8,32,0.048625151,46301915.74,24.50125455,0
151,34.9,32,0.048625151,46301915.74,24.50125455,0
152,34.8,32.1,0.048625151,46301915.74,24.50125455,0
153,34.9,32.1,0.048625151,46301915.74,24.50125455,0
154,34.9,32.2,0.048625151,46301915.74,24.50125455,0
155,34.9,32.3,0.052826956,215491765.5,24.38749125,0
156,35,32.3,0.052826956,215491765.5,24.38749125,0
157,34.9,32.4,0.052826956,215491765.5,24.38749125,0
158,35,32.4,0.052826956,215491765.5,24.38749125,0
159,34.9,32.5,0.052826956,215491765.5,24.38749125,0
160,35,32.5,0.052826956,215491765.5,24.38749125,0
161,35.1,32.5,0.052826956,215491765.5,24.38749125,0
162,35.4,32.5,0.03275716,147182.5742,26.57575513,0
163,35.5,32.5,0.03275716,147182.5742,26.57575513,0
164,35,32.6,0.052826956,215491765.5,24.38749125,0
165,35.1,32.6,0.052826956,215491765.5,24.38749125,0
166,35.2,32.6,0.052826956,215491765.5,24.38749125,0
167,35.3,32.6,0.052826956,215491765.5,24.38749125,0
168,35.4,32.6,0.03275716,147182.5742,26.57575513,0
169,35.5,32.6,0.03275716,147182.5742,26.57575513,0
170,35,32.7,0.052826956,215491765.5,24.38749125,0
171,35.1,32.7,0.052826956,215491765.5,24.38749125,0
172,35.2,32.7,0.052826956,215491765.5,24.38749125,0
173,35.3,32.7,0.052826956,215491765.5,24.38749125,0
174,35.4,32.7,0.03275716,147182.5742,26.57575513,0
175,35.5,32.7,0.03275716,147182.5742,26.57575513,0
176,35.6,32.7,0.03275716,147182.5742,26.57575513,0
177,35,32.8,0.052123761,161730314.8,23.32599068,0
178,35.1,32.8,0.052123761,161730314.8,23.32599068,0
179,35.2,32.8,0.052123761,161730314.8,23.32599068,0
180,35.3,32.8,0.052123761,161730314.8,23.32599068,0
181,35.4,32.8,0.041785218,3798180.306,24.66379733,0
182,35.5,32.8,0.041785218,3798180.306,24.66379733,0
183,35.6,32.8,0.041785218,3798180.306,24.66379733,0
184,35.7,32.8,0.041785218,3798180.306,24.66379733,0
185,35.8,32.8,0.041785218,3798180.306,24.66379733,0
186,35.1,32.9,0.052123761,161730314.8,23.32599068,0
187,35.2,32.9,0.052123761,161730314.8,23.32599068,0
188,35.3,32.9,0.052123761,161730314.8,23.32599068,0
189,35.4,32.9,0.041785218,3798180.306,24.66379733,0
190,35.5,32.9,0.041785218,3798180.306,24.66379733,0
191,35.6,32.9,0.041785218,3798180.306,24.66379733,0
192,35.7,32.9,0.041785218,3798180.306,24.66379733,0
193,35.8,32.9,0.041785218,3798180.306,24.66379733,0
194,35.1,33,0.052123761,161730314.8,23.32599068,0
195,35.2,33,0.052123761,161730314.8,23.32599068,0
196,35.3,33,0.052123761,161730314.8,23.32599068,0
197,35.4,33,0.041785218,3798180.306,24.66379733,0
198,35.5,33,0.041785218,3798180.306,24.66379733,0
199,35.6,33,0.041785218,3798180.306,24.66379733,0
200,35.7,33,0.041785218,3798180.306,24.66379733,0
201,35.8,33,0.041785218,3798180.306,24.66379733,0
202,35.5,33.1,0.041785218,3798180.306,24.66379733,0
203,35.6,33.1,0.041785218,3798180.306,24.66379733,0
204,35.7,33.1,0.041785218,3798180.306,24.66379733,0
205,35.8,33.1,0.041785218,3798180.306,24.66379733,0
206,35.6,33.2,0.041785218,3798180.306,24.66379733,0
207,35.7,33.2,0.041785218,3798180.306,24.66379733,0
208,35.8,33.2,0.041785218,3798180.306,24.66379733,0
209,35.7,33.3,0.039823832,1696687.233,21.50778974,0
210,35.8,33.3,0.039823832,1696687.233,21.50778974,0
701,34.9,30.9,0.040183947,2182342.72,25.77874836,0
1371,34.6,31.7,0.056824098,940456445.2,24.65258165,0
