"dates","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
2020-05-22 14:00:00,143,840,9.67050846895672,14.2132300400266,15.3359361839715,16.592686500602,16.9284986021729,16.7832521887298,16.1239201449623,16.4953688634208,17.7431726062292,19.0733469229655
2020-05-22 15:00:00,143,900,9.07289471000338,13.4720001218026,14.6226659910549,16.0558048763616,16.6211737489673,16.6800335168204,16.1987437639404,16.499154657471,17.7408323836081,19.0733469229655
2020-05-22 16:00:00,143,960,8.96575917633671,12.8972476872626,14.0316021552708,15.5644958317059,16.307698842751,16.5391411737431,16.2516299109672,16.5041407715835,17.7385252293829,19.0733469229655
2020-05-22 17:00:00,143,1020,8.41379922622881,12.3909761455374,13.5336200162677,15.1268481699736,16.0004757292799,16.3749515361522,16.282940548339,16.5098367974431,17.7362548012259,19.0733469229655
2020-05-22 18:00:00,143,1080,8.06385262206745,11.9168294197701,13.0678410628261,14.7246275837346,15.704394172776,16.1980595737005,16.2941416673508,16.5157860181652,17.7340227251216,19.0733469229655
2020-05-22 19:00:00,143,1140,7.57263751936347,11.5068683809761,12.6409098494399,14.3503068934187,15.4187992737947,16.0146709761563,16.2872486497553,16.5215821794405,17.7318289626773,19.0733469229655
2020-05-22 20:00:00,143,1200,8.02014295124544,11.1997020718484,12.2895592179506,14.0053018697106,15.1443752648039,15.8284095782082,16.2644110051881,16.5268748760171,17.7296719229558,19.0733469229655
2020-05-22 21:00:00,143,1260,7.81655456696245,10.9911517171193,12.0287968647398,13.7085201761263,14.887128275255,15.6425367857834,16.2277561809134,16.5313689029546,17.7275487570439,19.0733469229655
2020-05-22 22:00:00,143,1320,8.85787510902268,11.0912857480497,11.8872933695499,13.4614842074038,14.6523753551464,15.461100847018,16.1794413987592,16.5348225279602,17.7254554670239,19.0733469229655
2020-05-22 23:00:00,143,1380,9.57745428855595,11.279026903755,11.9481159224412,13.3107201303999,14.4539899069011,15.2891063763589,16.1216978903866,16.5370471821083,17.7233872902285,19.0733469229655
2020-05-23,144,0,9.66651555638136,11.37917300901,12.0032428537741,13.2264417964166,14.3006067612188,15.1339936768496,16.0570330034764,16.537909186658,17.7213388492842,19.0733469229655
2020-05-23 01:00:00,144,60,15.2269163867553,12.803279323278,12.5834201313915,13.258112309964,14.1928397176983,14.9999788322278,15.9881291827852,16.5373343176396,17.7193052822337,19.0733469229655
2020-05-23 02:00:00,144,120,21.3189024573981,14.964177631396,13.8622032556139,13.6019798690997,14.1933887601426,14.899859104609,15.9179235026565,16.5353066056676,17.7172797347992,19.0733469229655
2020-05-23 03:00:00,144,180,28.1408598565127,17.9182374504655,15.8597986893955,14.3451172961872,14.3720184011914,14.8627751812076,15.8509353163167,16.5318863955313,17.7152564867392,19.0733469229655
2020-05-23 04:00:00,144,240,33.921416791074,20.8721918325373,18.1222733815889,15.4490083517683,14.772923439857,14.9235898186749,15.7940938218837,16.5272507365604,17.7132303357167,19.0733469229655
2020-05-23 05:00:00,144,300,36.0429864201249,23.2650044765511,20.3123529480666,16.7763251650181,15.3816363587736,15.1062752625783,15.7562021026152,16.5217367047365,17.7111970837913,19.0733469229655
2020-05-23 06:00:00,144,360,35.5192775570388,24.6658041358483,21.9485833675662,18.088650630613,16.128244543431,15.4125438094285,15.7461280852814,16.5158579517701,17.709154335871,19.0733469229655
2020-05-23 07:00:00,144,420,32.1402039591821,24.9756255107524,22.8147024311627,19.1664824197378,16.9002485608651,15.8151825938229,15.7704105747255,16.5102764860987,17.7071018871917,19.0733469229655
2020-05-23 08:00:00,144,480,27.1642918153502,24.1382976832161,22.8360218044017,19.8524825824139,17.5823864802341,16.2641731630764,15.8311133278747,16.5057271099432,17.7050424541207,19.0733469229655
2020-05-23 09:00:00,144,540,21.279080286006,22.4580297556179,22.0567697024012,20.0692268682668,18.0801146234396,16.6992615674499,15.9248446327955,16.5029107594623,17.7029816127094,19.0733469229655
2020-05-23 10:00:00,144,600,17.6979388492285,20.6437884460022,20.8482151802307,19.8626113406121,18.3431436968998,17.0639827811032,16.0431144228334,16.502384301501,17.7009273755086,19.0733469229655
2020-05-23 11:00:00,144,660,16.8229364073583,19.3840847428775,19.7587821286587,19.4314400279279,18.394369354782,17.3226294928376,16.1741075385652,16.5044746824933,17.6988896412851,19.0733469229655
2020-05-23 12:00:00,144,720,15.5513880828783,18.5401091126022,18.9470519583788,18.9766923768985,18.3139057797352,17.4727436081508,16.3057965291066,16.5092461543737,17.6968790247469,19.0733469229655
2020-05-23 13:00:00,144,780,15.7456387233242,17.8768212829492,18.3215257162477,18.5549620483775,18.1694614350372,17.5359322875599,16.4288911526795,16.5165352770118,17.6949058393997,19.0733469229655
2020-05-23 14:00:00,144,840,16.4335232016347,17.592879119052,17.922406060732,18.2020265853246,18.0007590808564,17.5381853523875,16.5377559807486,16.5260270875597,17.6929793875344,19.0733469229655
2020-05-23 15:00:00,144,900,16.4852702277074,17.4804047156345,17.711694901634,17.9463579816035,17.8405842531733,17.5037910123494,16.6299285490688,16.5373311494116,17.6911074451252,19.0733469229655
2020-05-23 16:00:00,144,960,17.0677229844092,17.4561937025523,17.5878434859716,17.7643631271339,17.704516392399,17.4530735891326,16.705427152934,16.5500431473592,17.6892961552805,19.0733469229655
2020-05-23 17:00:00,144,1020,17.9148255357786,17.5927088770944,17.5960267137454,17.6537093215145,17.5970631976369,17.3992728565196,16.7658289080935,16.5637880532571,17.6875499751089,19.0733469229655
2020-05-23 18:00:00,144,1080,18.0103831853059,17.7288003155367,17.6671213680868,17.6112887597352,17.5243477653383,17.3515931813855,16.8134978790752,16.5782435743363,17.6858720202528,19.0733469229655
2020-05-23 19:00:00,144,1140,18.045384551297,17.7580455148171,17.7018080358563,17.5978094642632,17.4813665506861,17.315636689596,16.8511603313111,16.593150598802,17.6842641706365,19.0733469229655
2020-05-23 20:00:00,144,1200,17.9139118000175,17.7584144955413,17.7033408850873,17.5871725465865,17.4550132398822,17.2915090227694,16.8814034254646,16.608314183942,17.6827273942551,19.0733469229655
2020-05-23 21:00:00,144,1260,17.8628097810054,17.7194219940467,17.6837253172682,17.5723536100283,17.4363021431984,17.2761939497282,16.9062680939693,16.6235940039829,17.6812619700371,19.0733469229655
2020-05-23 22:00:00,144,1320,17.9577497683611,17.7362563119754,17.6689788531875,17.5546215705621,17.4205424151517,17.266332172488,16.9271844252834,16.6388901705281,17.6798677084557,19.0733469229655
2020-05-23 23:00:00,144,1380,17.7983465864084,17.7107608459521,17.6637498671118,17.5437446482882,17.408514582913,17.2597945957492,16.9451070747124,16.6541304349833,17.6785440960434,19.0733469229655
2020-05-24,145,0,17.7004976118038,17.6704961446037,17.6309220827574,17.5281445620637,17.3986804521483,17.2556872776644,16.9607266403385,16.6692615496338,17.6772902954438,19.0733469229655
2020-05-24 01:00:00,145,60,19.2191452121023,18.009165623974,17.7683272998212,17.5394548421227,17.3925469324618,17.2530206947868,16.9745338450129,16.6842455173689,17.6761062387253,19.0733469229655
2020-05-24 02:00:00,145,120,21.2333913608447,18.5809097169219,18.0809596827091,17.6298142788085,17.411146602309,17.2554057987624,16.98703544377,16.6990526883571,17.6749899413338,19.0733469229655
2020-05-24 03:00:00,145,180,23.4052686134749,19.4742326916616,18.6524162347981,17.8400245856039,17.4765921218023,17.271574697155,16.9992719889487,16.713671089424,17.6739402765025,19.0733469229655
2020-05-24 04:00:00,145,240,22.3785477441532,19.8959417615771,19.1824340921997,18.150972555777,17.6063005504615,17.3132354472322,17.0131237613355,16.7281196314832,17.6729561870319,19.0733469229655
2020-05-24 05:00:00,145,300,17.153515897986,19.0724305358151,19.0619199765636,18.3570762632828,17.7607944405188,17.38413338707,17.031072943201,16.7424640586383,17.672036671302,19.0733469229655
2020-05-24 06:00:00,145,360,15.1950146720255,17.9116260589679,18.3183491209831,18.254012521272,17.8405866452499,17.4627623381263,17.0544736088775,16.7568127587992,17.6711810195392,19.0733469229655
2020-05-24 07:00:00,145,420,15.5993693114956,17.3097073159658,17.7159007804892,17.9833188408964,17.8064960581715,17.5135045026239,17.0815221735915,16.7712679437829,17.6703890504603,19.0733469229655
