lat,lon,status,host
-33.84494212,22.46020694,Present,Taxodium distichum
-33.78373209,23.04946885,Present,Podocarpus falcatus
-33.78373209,23.04946885,Present,Gymnosporia buxifolia
-33.78373209,23.04946885,Present,Ekebergia capensis
-33.75644329,23.01315932,Present,Vachellia karroo
-33.75644329,23.01315932,Present,Quercus robur
-33.73193963,23.01315719,Present,Quercus robur
-33.73193963,23.01315719,Present,Acacia melanoxylon
-33.71134904,23.10274312,Present,Erythrina caffra
-33.70379756,22.41224705,Present,Ulmus minor
-33.70379756,22.41224705,Present,Acer palmatum
-33.70379756,22.41224705,Present,Erythrina caffra
-33.69432947,22.93960625,Present,Schotia brachypetala
-33.591667,26.8875,Present,Unknown
-33.31,26.526667,Present,Unknown
-32.983333,27.866667,Present,Unknown
-30.62918,30.53091,Present,Unknown
-30.341426,30.748077,Present,Unknown
-30.273679,30.750728,Present,Unknown
-29.882079,30.962844,Present,Unknown
-29.882079,30.962844,Present,Ricinus communis
-29.84811,31.005992,Present,Monoon longifolium
-29.847598,31.007848,Present,Cananga odorata
-29.847551,31.007941,Present,Unknown tree species
-29.847379,31.00658,Present,Cordia myxa
-29.847248,31.006843,Present,Unknown tree species
-29.846632,31.007976,Present,Ficus sp.
-29.846284,31.015516,Present,Unknown
-29.816708,31.016197,Present,Unknown
-29.798967,30.785313,Present,Liquidambar styraciflua
-29.798967,30.785313,Present,Unknown
-29.78997465,30.8299748,Present,Erythrina livinstoniana
-29.770675,31.053953,Present,Unknown
-29.759245,30.824023,Present,Unknown
-29.75911015,30.8240289,Present,Erythrina livinstoniana
-29.71276,31.092587,Present,Unknown
-29.6966798,30.97692266,Present,Ricinus communis
-29.648045,30.973377,Present,Unknown
-29.61011733,30.82008765,Present,Liquidambar styraciflua
-29.60767901,30.34774691,Present,Platanus x acerifolia
-29.60710923,30.3473202,Present,Platanus x acerifolia
-29.607051,30.3468499,Present,Unknown
-29.606727,30.346871,Present,Platanus x acerifolia
-29.605866,30.348295,Present,Commiphora harveyi
-29.604865,30.34712,Present,Metasequoia glyptostroboides
-29.5763247,31.1792611,Present,Unknown
-29.54687622,31.2076822,Present,Unknown
-29.54687012,31.20776129,Present,Unknown
-29.54674262,31.20728391,Present,Unknown
-29.5466806,31.2078134,Present,Unknown
-29.5453519,30.2470649,Present,Acer negundo
-29.54355667,31.20421,Present,Unknown
-29.54350167,31.20434,Present,Unknown
-29.5327915,31.2070066,Present,Unknown
-29.51453828,31.22740854,Present,Albizia adianthifolia
-29.513971,31.216651,Present,Unknown
-29.513758,31.219627,Present,Albizia adianthifolia
-29.4951094,30.3026916,Present,Platanus x acerifolia
-29.3221,31.331622,Present,Bauhinia purpurea
-29.3221,31.331622,Present,Unknown
-29.116667,26.216667,Present,Unknown
-29.032,31.506778,Present,Unknown
-29.00303821,29.42198759,Present,Platanus x acerifolia
-29.0023162,29.47122748,Present,Platanus x acerifolia
-28.90354,31.44901,Present,Senna multijuga
-28.814735,31.892659,Present,Unknown
-28.814735,31.892659,Present,Adansonia digitata
-27.942422,24.837794,Present,Unknown
-27.9146668,24.8335658,Present,Carya illinoinensis
-27.910529,24.848938,Present,Unknown
-26.767541,26.433667,Present,Unknown
-26.30341127,28.01213649,Present,Combretum erythrophyllum
-26.30340815,28.01220517,Present,Combretum erythrophyllum
-26.30338719,28.01214002,Present,Combretum erythrophyllum
-26.266111,27.865833,Present,Unknown
-26.2172222,28.20138889,Present,Unknown
-26.19077667,28.03105333,Present,Platanus x acerifolia
-26.18919333,28.02985167,Present,Platanus x acerifolia
-26.179444,28.136111,Present,Unknown
-26.17434415,28.12985382,Present,Liquidamber
-26.17434415,28.12985382,Present,Podocarpus henkelii
-26.17434415,28.12985382,Present,Salix alba
-26.17434415,28.12985382,Present,Vibernum sinensis
-26.17434415,28.12985382,Present,Combretum erythrophyllum
-26.17434415,28.12985382,Present,Combretum sp.
-26.16776,28.07214,Present,Platanus x acerifolia
-26.1677,28.07437,Present,Acer buergerianum
-26.16767,28.07433,Present,Acer buergerianum
-26.16766,28.07359,Present,Platanus x acerifolia
-26.16766,28.07157,Present,Platanus x acerifolia
-26.16765,28.07447,Present,Acer buergerianum
-26.16764,28.07374,Present,Platanus x acerifolia
-26.16764,28.07123,Present,Platanus x acerifolia
-26.16764,28.07071,Present,Platanus x acerifolia
-26.16764,28.07039,Present,Platanus x acerifolia
-26.16764,28.069,Present,Platanus x acerifolia
-26.16764,28.06765,Present,Platanus x acerifolia
-26.16763,28.07273,Present,Platanus x acerifolia
-26.16763,28.07248,Present,Platanus x acerifolia
-26.16763,28.07231,Present,Platanus x acerifolia
-26.16763,28.07165,Present,Platanus x acerifolia
-26.16763,28.07118,Present,Platanus x acerifolia
-26.16763,28.07005,Present,Platanus x acerifolia
-26.16762,28.07226,Present,Platanus x acerifolia
-26.16762,28.07089,Present,Platanus x acerifolia
-26.16762,28.06913,Present,Platanus x acerifolia
-26.16761,28.06929,Present,Platanus x acerifolia
-26.16761,28.0687,Present,Platanus x acerifolia
-26.16761,28.06868,Present,Platanus x acerifolia
-26.1676,28.06819,Present,Platanus x acerifolia
-26.16758,28.0668,Present,Platanus x acerifolia
-26.16757,28.06791,Present,Platanus x acerifolia
-26.16757,28.06707,Present,Platanus x acerifolia
-26.16757,28.06663,Present,Platanus x acerifolia
-26.16757,28.06639,Present,Platanus x acerifolia
-26.16722,28.07294,Present,Platanus x acerifolia
-26.16447,28.05338,Present,Quercus robur
-26.16446,28.0534,Present,Quercus robur
-26.16429,28.05217,Present,Cussonia spicata
-26.16424,28.0534,Present,Platanus x acerifolia
-26.16363,28.06408,Present,Acer Negundo
-26.16362,28.06494,Present,Platanus x acerifolia
-26.16361,28.06377,Present,Platanus x acerifolia
-26.16361,28.06366,Present,Platanus x acerifolia
-26.16361,28.06315,Present,Platanus x acerifolia
-26.16361,28.0629,Present,Platanus x acerifolia
-26.16361,28.06281,Present,Platanus x acerifolia
-26.16360334,28.114099,Present,Combretum erythrophyllum
-26.1636,28.06484,Present,Platanus x acerifolia
-26.1636,28.06469,Present,Platanus x acerifolia
-26.1636,28.0634,Present,Platanus x acerifolia
-26.1636,28.06303,Present,Platanus x acerifolia
-26.16359075,28.1141083,Present,Combretum erythrophyllum
-26.16359,28.06355,Present,Platanus x acerifolia
-26.16359,28.06264,Present,Platanus x acerifolia
-26.16359,28.06122,Present,Platanus x acerifolia
-26.16358385,28.11409588,Present,Combretum erythrophyllum
-26.16358,28.06328,Present,Platanus x acerifolia
-26.16358,28.06255,Present,Platanus x acerifolia
-26.16358,28.06141,Present,Platanus x acerifolia
-26.16358,28.06107,Present,Platanus x acerifolia
-26.16357,28.06155,Present,Platanus x acerifolia
-26.16357,28.06082,Present,Platanus x acerifolia
-26.16357,28.05929,Present,Platanus x acerifolia
-26.16356,28.06224,Present,Platanus x acerifolia
-26.16356,28.06203,Present,Platanus x acerifolia
-26.16356,28.06059,Present,Platanus x acerifolia
-26.16356,28.05954,Present,Platanus x acerifolia
-26.16356,28.05947,Present,Platanus x acerifolia
-26.16356,28.059,Present,Platanus x acerifolia
-26.16355,28.06092,Present,Platanus x acerifolia
-26.16355,28.06008,Present,Platanus x acerifolia
-26.16355,28.0589,Present,Platanus x acerifolia
-26.16355,28.05878,Present,Platanus x acerifolia
-26.16355,28.05867,Present,Platanus x acerifolia
-26.16354,28.05968,Present,Platanus x acerifolia
-26.16354,28.05852,Present,Platanus x acerifolia
-26.16353,28.0592,Present,Platanus x acerifolia
-26.16352,28.0614,Present,Platanus x acerifolia
-26.16247,28.06417,Present,Betula pendula
-26.16247,28.06413,Present,Betula pendula
-26.16247,28.06409,Present,Betula pendula
-26.16247,28.06396,Present,Betula pendula
-26.16246,28.06424,Present,Betula pendula
-26.16246,28.06422,Present,Betula pendula
-26.16245,28.06428,Present,Betula pendula
-26.16245,28.06393,Present,Betula pendula
-26.16245,28.06388,Present,Betula pendula
-26.16245,28.06378,Present,Betula pendula
-26.16244,28.0643,Present,Betula pendula
-26.16244,28.06384,Present,Betula pendula
-26.16244,28.06381,Present,Betula pendula
-26.16243,28.06471,Present,Tipuana tipu
-26.16243,28.06467,Present,Tipuana tipu
-26.16243,28.06455,Present,Tipuana tipu
-26.16243,28.06454,Present,Tipuana tipu
-26.16242,28.06436,Present,Betula pendula
-26.16225,28.06111,Present,Betula pendula
-26.16225,28.06109,Present,Betula pendula
-26.1609264,28.1124507,Present,Combretum erythrophyllum
-26.1607835,28.0122521,Present,Quercus sp.
-26.16061,28.05345,Present,Platanus x acerifolia
-26.16054351,28.01260295,Present,Quercus robur
-26.16051,28.05346,Present,Platanus x acerifolia
-26.16039,28.05486,Present,Celtis africana
-26.16038,28.05472,Present,Celtis africana
-26.16037,28.05554,Present,Celtis africana
-26.16036,28.05553,Present,Celtis africana
-26.16036,28.05546,Present,Celtis africana
-26.16035,28.05487,Present,Celtis africana
-26.16034,28.05485,Present,Celtis africana
-26.16033,28.05455,Present,Celtis africana
-26.16033,28.05447,Present,Celtis africana
-26.16033,28.05439,Present,Celtis africana
-26.16032,28.05428,Present,Jacaranda mimosifolia
-26.16032,28.05415,Present,Cedrus
-26.16032,28.05325,Present,Jacaranda mimosifolia
-26.16032,28.05301,Present,Jacaranda mimosifolia
-26.16031,28.05373,Present,Jacaranda mimosifolia
-26.16031,28.05248,Present,Jacaranda mimosifolia
-26.16029,28.05184,Present,Pinophyta sp.
-26.16028,28.05197,Present,Pinophyta sp.
-26.16028,28.05188,Present,Pinophyta sp.
-26.16028,28.05085,Present,Celtis africana
-26.16027,28.05221,Present,Acer buergerianum
-26.16027,28.05145,Present,Platanus x acerifolia
-26.16027,28.05132,Present,Platanus x acerifolia
-26.16026,28.05246,Present,Jacaranda mimosifolia
-26.16026,28.05109,Present,Platanus x acerifolia
-26.16025,28.05202,Present,Pinophyta sp.
-26.16013,28.05348,Present,Platanus x acerifolia
-26.15985,28.05347,Present,Platanus x acerifolia
-26.15963,28.0473,Present,Celtis africana
-26.15914,28.04735,Present,Acer buergerianum
-26.15903,28.05349,Present,Platanus x acerifolia
-26.15874,28.0535,Present,Platanus x acerifolia
-26.15873,28.04733,Present,Fraxinus excelsior
-26.15866,28.05351,Present,Platanus x acerifolia
-26.15859,28.05351,Present,Platanus x acerifolia
-26.15848,28.0535,Present,Platanus x acerifolia
-26.15807,28.05353,Present,Platanus x acerifolia
-26.15795,28.05352,Present,Platanus x acerifolia
