"","lon","lat"
"16896",146.2,-41.7
"16897",146.3,-41.7
"16898",146.4,-41.7
"16899",146.5,-41.7
"16900",146.6,-41.7
"16901",146.7,-41.7
"16902",146.8,-41.7
"16903",146.9,-41.7
"16904",147,-41.7
"16905",147.1,-41.7
"16906",147.2,-41.7
"16907",147.3,-41.7
"16908",147.4,-41.7
"16909",147.5,-41.7
"16910",147.6,-41.7
"16911",147.7,-41.7
"16912",147.8,-41.7
"16913",147.9,-41.7
"16914",148,-41.7
"16915",148.1,-41.7
"16916",148.2,-41.7
"17384",144.9,-41.6
"17385",145,-41.6
"17386",145.1,-41.6
"17387",145.2,-41.6
"17388",145.3,-41.6
"17389",145.4,-41.6
"17390",145.5,-41.6
"17391",145.6,-41.6
"17392",145.7,-41.6
"17393",145.8,-41.6
"17394",145.9,-41.6
"17395",146,-41.6
"17396",146.1,-41.6
"17397",146.2,-41.6
"17398",146.3,-41.6
"17399",146.4,-41.6
"17400",146.5,-41.6
"17401",146.6,-41.6
"17402",146.7,-41.6
"17403",146.8,-41.6
"17404",146.9,-41.6
"17405",147,-41.6
"17406",147.1,-41.6
"17407",147.2,-41.6
"17408",147.3,-41.6
"17409",147.4,-41.6
"17410",147.5,-41.6
"17411",147.6,-41.6
"17412",147.7,-41.6
"17413",147.8,-41.6
"17414",147.9,-41.6
"17415",148,-41.6
"17416",148.1,-41.6
"17417",148.2,-41.6
"17418",148.3,-41.6
"17885",144.9,-41.5
"17886",145,-41.5
"17887",145.1,-41.5
"17888",145.2,-41.5
"17889",145.3,-41.5
"17890",145.4,-41.5
"17891",145.5,-41.5
"17892",145.6,-41.5
"17893",145.7,-41.5
"17894",145.8,-41.5
"17895",145.9,-41.5
"17896",146,-41.5
"17897",146.1,-41.5
"17898",146.2,-41.5
"17899",146.3,-41.5
"17900",146.4,-41.5
"17901",146.5,-41.5
"17902",146.6,-41.5
"17903",146.7,-41.5
"17904",146.8,-41.5
"17905",146.9,-41.5
"17906",147,-41.5
"17907",147.1,-41.5
"17908",147.2,-41.5
"17909",147.3,-41.5
"17910",147.4,-41.5
"17911",147.5,-41.5
"17912",147.6,-41.5
"17913",147.7,-41.5
"17914",147.8,-41.5
"17915",147.9,-41.5
"17916",148,-41.5
"17917",148.1,-41.5
"17918",148.2,-41.5
"18385",144.8,-41.4
"18386",144.9,-41.4
"18387",145,-41.4
"18388",145.1,-41.4
"18389",145.2,-41.4
"18390",145.3,-41.4
"18391",145.4,-41.4
"18392",145.5,-41.4
"18393",145.6,-41.4
"18394",145.7,-41.4
"18395",145.8,-41.4
"18396",145.9,-41.4
"18397",146,-41.4
"18398",146.1,-41.4
"18399",146.2,-41.4
"18400",146.3,-41.4
"18401",146.4,-41.4
"18402",146.5,-41.4
"18403",146.6,-41.4
"18404",146.7,-41.4
"18405",146.8,-41.4
"18406",146.9,-41.4
"18407",147,-41.4
"18408",147.1,-41.4
"18409",147.2,-41.4
"18410",147.3,-41.4
"18411",147.4,-41.4
"18412",147.5,-41.4
"18413",147.6,-41.4
"18414",147.7,-41.4
"18415",147.8,-41.4
"18416",147.9,-41.4
"18417",148,-41.4
"18418",148.1,-41.4
"18419",148.2,-41.4
"18886",144.8,-41.3
"18887",144.9,-41.3
"18888",145,-41.3
"18889",145.1,-41.3
"18890",145.2,-41.3
"18891",145.3,-41.3
"18892",145.4,-41.3
"18893",145.5,-41.3
"18894",145.6,-41.3
"18895",145.7,-41.3
"18896",145.8,-41.3
"18897",145.9,-41.3
"18898",146,-41.3
"18899",146.1,-41.3
"18900",146.2,-41.3
"18901",146.3,-41.3
"18902",146.4,-41.3
"18903",146.5,-41.3
"18904",146.6,-41.3
"18905",146.7,-41.3
"18906",146.8,-41.3
"18907",146.9,-41.3
"18908",147,-41.3
"18909",147.1,-41.3
"18910",147.2,-41.3
"18911",147.3,-41.3
"18912",147.4,-41.3
"18913",147.5,-41.3
"18914",147.6,-41.3
"18915",147.7,-41.3
"18916",147.8,-41.3
"18917",147.9,-41.3
"18918",148,-41.3
"18919",148.1,-41.3
"18920",148.2,-41.3
"19386",144.7,-41.2
"19387",144.8,-41.2
"19388",144.9,-41.2
"19389",145,-41.2
"19390",145.1,-41.2
"19391",145.2,-41.2
"19392",145.3,-41.2
"19393",145.4,-41.2
"19394",145.5,-41.2
"19395",145.6,-41.2
"19396",145.7,-41.2
"19397",145.8,-41.2
"19398",145.9,-41.2
"19399",146,-41.2
"19400",146.1,-41.2
"19401",146.2,-41.2
"19402",146.3,-41.2
"19403",146.4,-41.2
"19404",146.5,-41.2
"19405",146.6,-41.2
"19406",146.7,-41.2
"19407",146.8,-41.2
"19408",146.9,-41.2
"19409",147,-41.2
"19410",147.1,-41.2
"19411",147.2,-41.2
"19412",147.3,-41.2
"19413",147.4,-41.2
"19414",147.5,-41.2
"19415",147.6,-41.2
"19416",147.7,-41.2
"19417",147.8,-41.2
"19418",147.9,-41.2
"19419",148,-41.2
"19420",148.1,-41.2
"19421",148.2,-41.2
"19887",144.7,-41.1
"19888",144.8,-41.1
"19889",144.9,-41.1
"19890",145,-41.1
"19891",145.1,-41.1
"19892",145.2,-41.1
"19893",145.3,-41.1
"19894",145.4,-41.1
"19895",145.5,-41.1
"19896",145.6,-41.1
"19897",145.7,-41.1
"19898",145.8,-41.1
"19899",145.9,-41.1
"19900",146,-41.1
"19907",146.7,-41.1
"19909",146.9,-41.1
"19910",147,-41.1
"19911",147.1,-41.1
"19912",147.2,-41.1
"19913",147.3,-41.1
"19914",147.4,-41.1
"19915",147.5,-41.1
"19916",147.6,-41.1
"19917",147.7,-41.1
"19918",147.8,-41.1
"19919",147.9,-41.1
"19920",148,-41.1
"19921",148.1,-41.1
"19922",148.2,-41.1
"20388",144.7,-41
"20389",144.8,-41
"20390",144.9,-41
"20391",145,-41
"20392",145.1,-41
"20393",145.2,-41
"20394",145.3,-41
"20395",145.4,-41
"20396",145.5,-41
"20397",145.6,-41
"20398",145.7,-41
"20411",147,-41
"20412",147.1,-41
"20413",147.2,-41
"20414",147.3,-41
"20416",147.5,-41
"20417",147.6,-41
"20418",147.7,-41
"20419",147.8,-41
"20420",147.9,-41
"20421",148,-41
"20422",148.1,-41
"20423",148.2,-41
"20424",148.3,-41
"20889",144.7,-40.9
"20890",144.8,-40.9
"20891",144.9,-40.9
"20892",145,-40.9
"20893",145.1,-40.9
"20894",145.2,-40.9
"20895",145.3,-40.9
"20896",145.4,-40.9
"20897",145.5,-40.9
"20918",147.6,-40.9
"20919",147.7,-40.9
"20920",147.8,-40.9
"20921",147.9,-40.9
"20922",148,-40.9
"20923",148.1,-40.9
"20924",148.2,-40.9
"21390",144.7,-40.8
"21391",144.8,-40.8
"21392",144.9,-40.8
"21393",145,-40.8
"21423",148,-40.8
"21424",148.1,-40.8
"21891",144.7,-40.7
"21893",144.9,-40.7
"21894",145,-40.7
"23396",144.9,-40.4
"23427",148,-40.4
"23428",148.1,-40.4
"23429",148.2,-40.4
"23430",148.3,-40.4
"23431",148.4,-40.4
"24430",148.1,-40.2
"24431",148.2,-40.2
"24432",148.3,-40.2
"24889",143.9,-40.1
"24930",148,-40.1
"24931",148.1,-40.1
"24932",148.2,-40.1
"25390",143.9,-40
"25391",144,-40
"25392",144.1,-40
"25430",147.9,-40
"25431",148,-40
"25432",148.1,-40
"25433",148.2,-40
"25891",143.9,-39.9
"25892",144,-39.9
"25893",144.1,-39.9
"25930",147.8,-39.9
"25931",147.9,-39.9
"25932",148,-39.9
"25933",148.1,-39.9
"26392",143.9,-39.8
"26393",144,-39.8
"26394",144.1,-39.8
"26432",147.9,-39.8
"26433",148,-39.8
"26893",143.9,-39.7
"26894",144,-39.7
"26895",144.1,-39.7
"29924",146.4,-39.1
"30424",146.3,-39
"30425",146.4,-39
"30926",146.4,-38.9
"31398",143.5,-38.8
"31399",143.6,-38.8
"31422",145.9,-38.8
"31423",146,-38.8
"31424",146.1,-38.8
"31425",146.2,-38.8
"31896",143.2,-38.7
"31897",143.3,-38.7
"31898",143.4,-38.7
"31899",143.5,-38.7
"31900",143.6,-38.7
"31901",143.7,-38.7
"31923",145.9,-38.7
"31924",146,-38.7
"31925",146.1,-38.7
"31926",146.2,-38.7
"31928",146.4,-38.7
"32394",142.9,-38.6
"32395",143,-38.6
"32396",143.1,-38.6
"32397",143.2,-38.6
"32398",143.3,-38.6
"32399",143.4,-38.6
"32400",143.5,-38.6
"32401",143.6,-38.6
"32402",143.7,-38.6
"32403",143.8,-38.6
"32404",143.9,-38.6
"32421",145.6,-38.6
"32422",145.7,-38.6
"32423",145.8,-38.6
"32424",145.9,-38.6
"32425",146,-38.6
"32426",146.1,-38.6
"32427",146.2,-38.6
"32428",146.3,-38.6
"32429",146.4,-38.6
"32430",146.5,-38.6
"32431",146.6,-38.6
"32432",146.7,-38.6
"32433",146.8,-38.6
"32434",146.9,-38.6
"32893",142.7,-38.5
"32894",142.8,-38.5
"32895",142.9,-38.5
"32896",143,-38.5
"32897",143.1,-38.5
"32898",143.2,-38.5
"32899",143.3,-38.5
"32900",143.4,-38.5
"32901",143.5,-38.5
"32902",143.6,-38.5
"32903",143.7,-38.5
"32904",143.8,-38.5
"32905",143.9,-38.5
"32906",144,-38.5
"32918",145.2,-38.5
"32919",145.3,-38.5
"32921",145.5,-38.5
"32922",145.6,-38.5
"32923",145.7,-38.5
"32924",145.8,-38.5
"32925",145.9,-38.5
"32926",146,-38.5
"32927",146.1,-38.5
"32928",146.2,-38.5
"32929",146.3,-38.5
"32930",146.4,-38.5
"32931",146.5,-38.5
"32932",146.6,-38.5
"32933",146.7,-38.5
"32934",146.8,-38.5
"32935",146.9,-38.5
"32936",147,-38.5
"33393",142.6,-38.4
"33394",142.7,-38.4
"33395",142.8,-38.4
"33396",142.9,-38.4
"33397",143,-38.4
"33398",143.1,-38.4
"33399",143.2,-38.4
"33400",143.3,-38.4
"33401",143.4,-38.4
"33402",143.5,-38.4
"33403",143.6,-38.4
"33404",143.7,-38.4
"33405",143.8,-38.4
"33406",143.9,-38.4
"33407",144,-38.4
"33408",144.1,-38.4
"33409",144.2,-38.4
"33415",144.8,-38.4
"33416",144.9,-38.4
"33417",145,-38.4
"33418",145.1,-38.4
"33419",145.2,-38.4
"33420",145.3,-38.4
"33423",145.6,-38.4
"33424",145.7,-38.4
"33425",145.8,-38.4
"33426",145.9,-38.4
"33427",146,-38.4
"33428",146.1,-38.4
"33429",146.2,-38.4
"33430",146.3,-38.4
"33431",146.4,-38.4
"33432",146.5,-38.4
"33433",146.6,-38.4
"33434",146.7,-38.4
"33435",146.8,-38.4
"33436",146.9,-38.4
"33437",147,-38.4
"33438",147.1,-38.4
"33882",141.4,-38.3
"33883",141.5,-38.3
"33884",141.6,-38.3
"33888",142,-38.3
"33889",142.1,-38.3
"33890",142.2,-38.3
"33891",142.3,-38.3
"33892",142.4,-38.3
"33893",142.5,-38.3
"33894",142.6,-38.3
"33895",142.7,-38.3
"33896",142.8,-38.3
"33897",142.9,-38.3
"33898",143,-38.3
"33899",143.1,-38.3
"33900",143.2,-38.3
"33901",143.3,-38.3
"33902",143.4,-38.3
"33903",143.5,-38.3
"33904",143.6,-38.3
"33905",143.7,-38.3
"33906",143.8,-38.3
"33907",143.9,-38.3
"33908",144,-38.3
"33909",144.1,-38.3
"33910",144.2,-38.3
"33911",144.3,-38.3
"33918",145,-38.3
"33919",145.1,-38.3
"33920",145.2,-38.3
"33921",145.3,-38.3
"33924",145.6,-38.3
"33925",145.7,-38.3
"33926",145.8,-38.3
"33927",145.9,-38.3
"33928",146,-38.3
"33929",146.1,-38.3
"33930",146.2,-38.3
"33931",146.3,-38.3
"33932",146.4,-38.3
"33933",146.5,-38.3
"33934",146.6,-38.3
"33935",146.7,-38.3
"33936",146.8,-38.3
"33937",146.9,-38.3
"33938",147,-38.3
"33939",147.1,-38.3
"33940",147.2,-38.3
"34382",141.3,-38.2
"34383",141.4,-38.2
